log_key,annotation_index,class,note,annotated_at,range_index,signal,start_us,end_us
2018-09-10/08_04_54,0,Normal,,2025-03-10T22:04:38.121826,,,,
2018-09-10/08_07_27,0,Normal,,2025-03-10T22:05:44.099049,,,,
2018-09-10/08_10_16,0,Normal,,2025-03-10T22:07:07.229387,,,,
2018-09-10/08_13_04,0,Normal,,2025-03-10T22:10:05.902896,,,,
2018-09-10/08_15_27,0,Normal,,2025-03-10T22:10:56.352310,,,,
2018-09-10/08_20_33,0,Normal,,2025-03-10T22:12:15.644026,,,,
2018-09-10/08_23_45,0,Normal,,2025-03-10T22:13:22.072062,,,,
2018-09-10/08_27_38,0,Normal,,2025-03-10T22:15:32.973679,,,,
2018-09-10/08_30_01,0,Normal,,2025-03-10T22:16:27.663046,,,,
2018-09-10/08_32_37,0,Normal,,2025-03-10T22:17:41.211097,,,,
2018-09-10/08_41_34,0,Normal,,2025-03-10T22:19:05.272714,,,,
2018-09-10/19_07_23,0,External Position,,2025-03-10T22:21:53.607425,0,Position.Y,418645000,428269000
2018-09-10/19_12_58,0,Normal,,2025-03-10T22:23:18.211012,,,,
2018-09-10/19_15_38,0,External Position,,2025-03-10T22:28:02.162353,0,Position.Y,149683000,156843000
2018-09-10/19_19_16,0,External Position,,2025-03-10T22:31:50.282527,0,Position.Y,93793000,97130000
2018-09-10/19_21_54,0,Normal,,2025-03-10T22:33:47.893006,,,,
2018-09-10/19_24_47,0,Normal,,2025-03-10T22:37:53.497154,,,,
2018-09-11/07_25_53,0,Normal,,2025-03-10T22:39:07.647557,,,,
2018-09-11/07_29_26,0,Altitude,,2025-03-10T22:41:13.272671,0,Position.Z,63424000,65587000
2018-09-11/07_29_26,0,Altitude,,2025-03-10T22:41:13.272671,1,Position.Z,67692000,69973000
2018-09-11/07_29_26,0,Altitude,,2025-03-10T22:41:13.272671,2,Position.Z,72370000,73598000
2018-09-11/07_29_26,0,Altitude,,2025-03-10T22:41:13.272671,3,Position.Z,76522000,77750000
2018-09-11/07_29_26,0,Altitude,,2025-03-10T22:41:13.272671,4,Position.Z,80790000,81960000
2018-09-11/07_29_26,0,Altitude,,2025-03-10T22:41:13.272671,5,Position.Z,84649000,86111000
2018-09-11/07_31_37,0,Altitude,,2025-03-10T22:43:50.770167,0,Position.Z,55739000,56554000
2018-09-11/07_36_30,0,Altitude,,2025-03-10T22:45:49.126845,0,Position.Z,77035000,79209000
2018-09-11/07_38_44,0,Normal,,2025-03-10T22:48:27.254412,,,,
2018-09-11/07_42_11,0,Normal,,2025-03-10T22:50:16.369733,,,,
2018-09-11/07_45_17,0,Altitude,,2025-03-10T22:50:58.319949,0,Position.Z,51989000,53307000
2018-09-11/07_46_51,0,Normal,,2025-03-10T22:52:13.302363,,,,
2018-09-11/07_51_46,0,Normal,,2025-03-10T22:54:00.344195,,,,
2018-09-11/07_54_52,0,Normal,,2025-03-10T22:55:09.968378,,,,
2018-09-11/07_55_43,0,Normal,,2025-03-10T22:55:47.906421,,,,
2018-09-11/07_57_54,0,Normal,,2025-03-10T22:56:42.163811,,,,
2018-09-11/08_00_34,0,Normal,,2025-03-10T22:57:56.553618,,,,
2018-09-11/08_03_41,0,Normal,,2025-03-10T22:59:03.043685,,,,
2018-09-11/08_07_20,0,Normal,,2025-03-10T23:01:32.219255,,,,
2018-09-11/08_12_21,0,Normal,,2025-03-10T23:03:32.054078,,,,
2018-09-11/08_16_50,0,Normal,,2025-03-10T23:06:07.677943,,,,
2018-09-11/08_18_39,0,Normal,,2025-03-10T23:07:52.327401,,,,
2018-09-11/08_22_25,0,Normal,,2025-03-16T21:59:43.106112,,,,
2018-09-11/08_25_54,0,Normal,,2025-03-16T22:02:31.542411,,,,
2018-09-11/08_30_17,0,Altitude,,2025-03-16T22:04:21.834467,0,Position.Z,95589000,102338000
2018-09-12/18_35_39,0,Normal,,2025-03-16T22:26:36.564101,,,,
2018-09-12/18_38_27,0,Normal,,2025-03-17T00:48:23.380616,,,,
2018-09-12/18_42_41,0,External Position,,2025-03-17T00:51:25.407873,0,Position.X,67214000,72371000
2018-09-12/18_46_47,0,Normal,,2025-03-17T00:52:56.515465,,,,
2018-09-12/18_48_30,0,Normal,,2025-03-17T00:54:41.346020,,,,
2018-09-12/18_51_50,0,Normal,,2025-03-17T00:56:45.010729,,,,
2018-09-12/18_59_10,0,Normal,there is a log interruption,2025-03-17T01:00:51.961430,,,,
2018-09-12/19_14_19,0,Normal,,2025-03-17T01:04:14.335099,,,,
2018-09-12/19_20_24,0,External Position,,2025-03-17T01:10:23.759036,0,Position.X,92253000,97728000
2018-09-12/19_28_20,0,External Position,,2025-03-17T22:32:07.044374,0,Position.Y,134867000,137399000
2018-09-14/07_36_08,0,Normal,,2025-03-17T22:37:00.310645,,,,
2018-09-14/07_40_52,0,Normal,log interruption,2025-03-17T22:38:35.418769,,,,
2018-09-14/07_45_42,0,Normal,log interruption,2025-03-17T22:39:37.395788,,,,
2018-09-14/07_49_38,0,Normal,log interruption,2025-03-17T22:43:58.354997,,,,
2018-09-14/07_52_46,0,Normal,,2025-03-17T22:45:01.242968,,,,
2018-09-14/07_55_09,0,Normal,log interruption,2025-03-17T23:00:20.639833,,,,
2018-09-14/07_57_33,0,Normal,log interruption,2025-03-17T23:01:28.899305,,,,
2018-09-14/08_00_52,0,Normal,log interruption,2025-03-17T23:03:06.976385,,,,
2018-09-14/08_05_42,0,Normal,,2025-03-17T23:10:23.521091,,,,
2018-09-14/08_18_08,0,Normal,,2025-03-17T23:15:22.313702,,,,
2018-09-14/08_27_55,0,Normal,,2025-03-17T23:16:15.752507,,,,
2018-09-14/08_57_38,0,Normal,,2025-03-17T23:16:53.485921,,,,
2018-09-14/09_02_59,0,Normal,,2025-03-17T23:18:31.813735,,,,
2018-09-14/09_08_16,0,Normal,,2025-03-17T23:21:26.403338,,,,
2018-09-15/16_57_53,0,Normal,,2025-03-17T23:22:30.516878,,,,
2018-09-15/17_01_53,0,Normal,,2025-03-17T23:25:07.676382,,,,
2018-09-15/17_10_15,0,Uncategorized,,2025-03-17T23:25:52.195950,,,,
2018-09-15/17_16_19,0,External Position,,2025-03-17T23:26:37.591021,0,Position.X,170388000,180828000
2018-09-15/17_16_19,0,External Position,,2025-03-17T23:26:37.591021,1,Position.X,123062000,129465000
2018-09-15/17_16_19,0,External Position,,2025-03-17T23:26:37.591021,2,Position.X,213399000,222725000
2018-09-15/17_16_19,0,External Position,,2025-03-17T23:26:37.591021,3,Position.Y,101765000,109977000
2018-09-15/17_20_38,0,Normal,,2025-03-17T23:40:39.420133,,,,
2018-09-15/17_21_15,0,Uncategorized,,2025-03-17T23:42:15.051888,,,,
2018-09-15/17_22_19,0,Normal,,2025-03-17T23:44:04.855120,,,,
2018-09-15/17_28_56,0,External Position,,2025-03-17T23:44:50.879173,0,Position.X,261770000,269290000
2018-09-15/17_33_56,0,External Position,,2025-03-17T23:45:33.360755,0,Position.Y,91013000,98627000
2018-09-15/17_36_51,0,External Position,,2025-03-17T23:45:59.055430,0,Position.X,315021000,322908000
2018-09-15/17_48_11,0,External Position,,2025-03-17T23:46:39.495010,0,Position.X,106163000,116246000
2018-09-15/17_59_18,0,External Position,,2025-03-17T23:48:06.887225,0,Position.Y,75813000,77840000
2018-09-15/18_07_28,0,Uncategorized,,2025-03-17T23:48:25.390754,,,,
2018-09-15/18_07_41,0,Normal,,2025-03-17T23:49:25.940111,,,,
2018-09-15/18_16_47,0,External Position,,2025-03-17T23:50:06.810450,0,Position.X,249930000,253277000
2018-09-15/18_21_12,0,External Position,,2025-03-17T23:50:23.147913,0,Position.X,130514000,139399000
2018-09-15/18_27_16,0,External Position,,2025-03-17T23:50:51.906871,0,Position.X,103548000,106671000
2018-09-15/18_36_56,0,External Position,,2025-03-17T23:51:04.918906,0,Position.X,61172000,69598000
2018-09-15/18_41_01,0,External Position,,2025-03-17T23:51:26.264957,0,Position.X,65280000,70191000
2018-09-15/18_45_33,0,External Position,,2025-03-17T23:55:40.961857,0,Position.X,216344000,219939000
2018-09-15/18_45_33,0,External Position,,2025-03-17T23:55:40.961857,1,Position.X,228077000,229230000
2018-09-15/18_45_33,0,External Position,,2025-03-17T23:55:40.961857,2,Position.X,239743000,241913000
2018-09-15/18_45_33,0,External Position,,2025-03-17T23:55:40.961857,3,Position.X,244693000,245982000
2018-09-17/07_34_37,0,Normal,,2025-03-18T00:06:03.615942,,,,
2018-09-17/07_46_13,0,External Position,,2025-03-20T23:32:18.819180,0,Position.X,107221000,110432000
2018-09-17/07_46_13,0,External Position,,2025-03-20T23:32:18.819180,1,Position.X,111323000,115544000
2018-09-17/07_50_34,0,External Position,,2025-03-20T23:34:28.513307,0,Position.Y,75002000,76608000
2018-09-17/07_58_08,0,External Position,,2025-03-20T23:42:47.825588,0,Position.X,117508000,128468000
2018-09-17/07_58_08,0,External Position,,2025-03-20T23:42:47.825588,1,Position.X,180018000,184197000
2018-09-17/08_07_28,0,Uncategorized,external position outliers,2025-03-20T23:46:54.861330,,,,
2018-09-17/08_17_29,0,Altitude,,2025-03-20T23:49:56.509661,0,Position.Z,457412000,483362000
2018-09-17/08_24_05,0,External Position,,2025-03-20T23:54:44.763301,0,Position.X,147415000,153164000
2018-09-17/08_24_05,0,External Position,,2025-03-20T23:54:44.763301,1,Position.Y,149725000,153803000
2018-09-17/08_28_04,0,Normal,,2025-03-20T23:56:42.104696,,,,
2018-09-17/08_33_10,0,Normal,,2025-03-20T23:57:51.171541,,,,
2018-09-17/08_40_43,0,Normal,,2025-03-21T00:03:31.465553,,,,
2018-09-17/18_35_46,0,Uncategorized,,2025-03-21T00:15:09.548374,,,,
2018-09-17/18_40_08,0,External Position,,2025-03-21T00:21:37.755404,0,Position.Y,80210000,82659000
2018-09-17/18_40_08,0,External Position,,2025-03-21T00:21:37.755404,1,Position.Y,92162000,93729000
2018-09-17/18_40_08,0,External Position,,2025-03-21T00:21:37.755404,2,Position.Y,96178000,97942000
2018-09-17/18_40_08,0,External Position,,2025-03-21T00:21:37.755404,3,Position.Y,114988000,115968000
2018-09-17/18_55_54,0,Normal,,2025-03-21T00:23:13.078727,,,,
2018-09-18/07_38_12,0,Normal,,2025-03-21T00:23:28.965340,,,,
2018-09-18/07_41_25,0,Uncategorized,,2025-03-25T23:47:43.653921,,,,
2018-09-18/07_44_24,0,Normal,,2025-03-25T23:49:51.597336,,,,
2018-09-18/07_48_03,0,Normal,,2025-03-25T23:51:14.349669,,,,
2018-09-18/07_55_26,0,Normal,,2025-03-25T23:54:31.813050,,,,
2018-09-18/08_04_48,0,Normal,,2025-03-25T23:56:56.371876,,,,
2018-09-18/08_23_46,0,Uncategorized,,2025-03-25T23:59:56.681856,,,,
2018-09-18/08_29_22,0,Uncategorized,,2025-03-26T00:00:25.762013,,,,
2018-09-18/08_39_17,0,Normal,,2025-03-26T00:03:55.611413,,,,
2018-09-18/08_43_39,0,Uncategorized,,2025-03-26T00:04:40.386581,,,,
2018-09-18/08_48_35,0,Altitude,there is no thrust change,2025-03-26T00:07:59.533453,0,Position.Z,94759000,102962000
2018-09-18/08_51_40,0,Altitude,,2025-03-26T00:10:03.393704,0,Position.Z,288561000,351082000
2018-09-18/08_51_40,0,Altitude,,2025-03-26T00:10:03.393704,1,Position.Z,391720000,397021000
2018-09-18/08_57_01,0,Normal,,2025-03-26T00:41:09.759294,,,,
2018-09-18/09_02_23,0,External Position,,2025-03-26T00:46:11.867300,0,Position.X,310448000,313206000
2018-09-18/09_02_23,0,External Position,,2025-03-26T00:46:11.867300,1,Position.X,315374000,318921000
2018-09-19/07_32_22,0,External Position,,2025-03-26T00:58:03.775327,0,Position.Y,458232000,464248000
2018-09-19/07_32_22,0,External Position,,2025-03-26T00:58:03.775327,1,Position.Y,519622000,523497000
2018-09-19/07_32_22,0,External Position,,2025-03-26T00:58:03.775327,2,Position.X,513605000,516257000
2018-09-19/07_32_22,0,External Position,,2025-03-26T00:58:03.775327,3,Position.X,519010000,525129000
2018-09-19/07_32_22,0,External Position,,2025-03-26T00:58:03.775327,4,Position.X,509220000,512178000
2018-09-19/07_38_07,0,External Position,,2025-03-26T01:00:13.530053,0,Position.X,65223000,66566000
2018-09-19/07_38_07,0,External Position,,2025-03-26T01:00:13.530053,1,Position.X,94647000,96399000
2018-09-19/07_38_07,0,External Position,,2025-03-26T01:00:13.530053,2,Position.Y,83380000,85014000
2018-09-19/07_41_00,0,External Position,,2025-03-26T01:02:27.645441,0,Position.Z,235788000,239318000
2018-09-19/07_49_34,0,External Position,,2025-03-26T01:04:31.753460,0,Position.X,296694000,302419000
2018-09-19/07_57_22,0,Uncategorized,,2025-03-26T01:05:03.991187,,,,
2018-09-19/07_57_41,0,Altitude,,2025-03-26T01:07:12.279125,0,Position.Z,240716000,249968000
2018-09-19/08_02_15,0,External Position,,2025-03-27T00:05:30.169119,0,Position.X,85869000,86775000
2018-09-19/08_17_46,0,Uncategorized,,2025-03-27T00:05:39.782966,,,,
2018-09-19/08_18_11,0,Normal,,2025-03-27T00:09:37.705427,,,,
2018-09-19/08_25_55,0,Normal,,2025-03-27T00:11:41.509264,,,,
2018-09-19/08_35_21,0,Normal,,2025-03-27T00:14:13.118518,,,,
2018-09-19/08_49_39,0,Uncategorized,,2025-03-27T00:14:24.242334,,,,
2018-09-19/08_49_56,0,Normal,,2025-03-27T00:17:37.599016,,,,
2018-09-19/08_55_56,0,Normal,,2025-03-27T00:19:48.585563,,,,
2018-09-19/09_05_21,0,External Position,,2025-03-27T00:20:46.327345,0,Position.X,309173000,311591000
2018-09-19/15_30_55,0,Normal,,2025-03-27T00:21:40.581552,,,,
2018-09-19/15_36_37,0,Normal,,2025-03-27T00:24:37.204714,,,,
2018-09-19/15_48_59,0,Normal,,2025-03-27T00:26:03.183116,,,,
2018-09-19/15_58_27,0,Altitude,,2025-03-27T00:29:01.944561,0,Position.Z,280157000,412368000
2018-09-19/16_08_00,0,Normal,,2025-03-27T23:02:35.628409,,,,
2018-09-19/16_16_36,0,Normal,,2025-03-27T23:04:52.045713,,,,
2018-09-19/16_22_54,0,Normal,,2025-03-27T23:05:38.458262,,,,
2018-09-19/16_29_03,0,Normal,,2025-03-27T23:07:57.600643,,,,
2018-09-21/07_57_12,0,Uncategorized,,2025-03-27T23:08:24.765494,,,,
2018-09-21/07_57_25,0,Normal,,2025-03-27T23:10:26.456995,,,,
2018-09-21/08_04_59,0,Normal,,2025-03-27T23:12:12.410641,,,,
2018-09-21/08_16_20,0,Normal,,2025-03-27T23:14:10.936957,,,,
2018-09-21/19_14_06,0,Normal,,2025-03-27T23:15:13.018281,,,,
2018-09-21/19_19_30,0,Uncategorized,,2025-03-27T23:15:32.510652,,,,
2018-09-21/19_19_57,0,Normal,,2025-03-27T23:18:30.546755,,,,
2018-09-21/19_33_07,0,Uncategorized,,2025-03-27T23:18:54.722217,,,,
2018-09-21/19_36_27,0,Altitude,,2025-03-27T23:20:16.826676,0,Position.Z,243780000,455612000
2018-09-21/20_05_46,0,Uncategorized,,2025-03-27T23:20:32.445553,,,,
2018-09-21/20_06_05,0,External Position,,2025-03-27T23:22:30.872005,0,Position.X,173654000,175689000
2018-09-21/20_07_57,0,Normal,,2025-03-27T23:24:27.300014,,,,
2018-09-21/20_17_16,0,Normal,,2025-03-27T23:30:15.042185,,,,
2018-09-21/20_24_01,0,Normal,,2025-03-27T23:31:47.368103,,,,
2018-09-21/20_35_04,0,Normal,,2025-03-27T23:35:00.348791,,,,
2018-09-21/20_40_36,0,Normal,,2025-03-27T23:36:18.574897,,,,
2018-09-25/07_29_31,0,Normal,,2025-03-27T23:37:41.317142,,,,
2018-09-25/07_34_04,0,Altitude,,2025-03-28T00:05:19.229039,0,Position.Z,154647000,177748000
2018-09-25/07_39_04,0,Normal,,2025-03-28T00:06:02.971537,,,,
2018-09-25/07_42_48,0,Normal,,2025-03-28T00:06:40.623948,,,,
2018-09-25/07_44_21,0,External Position,,2025-03-28T00:07:31.235333,0,Position.X,84145000,86452000
2018-09-25/07_50_00,0,External Position,,2025-03-28T00:08:54.509346,0,Position.X,207991000,211364000
2018-09-25/07_52_26,0,Altitude,,2025-03-28T00:10:09.956181,0,Position.Z,137642000,187124000
2018-09-25/07_57_05,0,Normal,,2025-03-28T00:11:16.391127,,,,
2018-09-25/08_03_16,0,Normal,,2025-03-30T17:31:10.123286,,,,
2018-09-25/08_11_51,0,Normal,,2025-03-30T17:57:31.405189,,,,
2018-09-25/08_19_32,0,Normal,,2025-03-30T17:59:26.000761,,,,
2018-09-25/08_26_41,0,Normal,,2025-03-30T18:07:09.261943,,,,
2018-09-27/08_01_35,0,Normal,,2025-03-30T18:13:45.635856,,,,
2018-09-27/08_08_56,0,External Position,,2025-03-30T18:15:55.128141,0,Position.X,153728000,161045000
2018-09-27/08_11_29,0,Uncategorized,,2025-03-30T18:23:42.454252,,,,
2018-09-27/08_12_10,0,Altitude,,2025-03-30T18:30:23.748838,0,Position.Z,72210000,119732000
2018-09-27/08_12_10,0,Altitude,,2025-03-30T18:30:23.748838,1,Position.Z,189809000,212709000
2018-09-27/08_20_24,0,Altitude,,2025-03-30T18:31:28.016156,0,Position.Z,265240000,275761000
2018-09-27/08_27_10,0,Altitude,,2025-03-30T18:32:00.304351,0,Position.Z,322562000,328649000
2018-09-27/08_27_10,0,Altitude,,2025-03-30T18:32:00.304351,1,Position.Z,356287000,375371000
2018-09-27/08_32_37,0,Altitude,,2025-03-30T18:33:05.889515,0,Position.Z,133357000,145427000
2018-09-27/08_37_20,0,Altitude,,2025-03-30T18:35:00.079457,0,Position.Z,244120000,267207000
2018-09-27/08_37_20,0,Altitude,,2025-03-30T18:35:00.079457,1,Position.Z,301327000,314402000
2018-10-01/07_36_14,0,Normal,,2025-03-30T18:35:32.499154,,,,
2018-10-01/07_43_29,0,Normal,,2025-03-30T18:36:05.458530,,,,
2018-10-01/07_50_55,0,Normal,,2025-03-30T18:36:50.067618,,,,
2018-10-01/07_55_01,0,Altitude,,2025-03-30T18:38:20.743351,0,Position.Z,53103000,56960000
2018-10-01/07_55_01,0,Altitude,,2025-03-30T18:38:20.743351,1,Position.Z,101123000,103518000
2018-10-01/07_59_19,0,Normal,,2025-03-30T18:39:29.809966,,,,
2018-10-01/08_05_14,0,Altitude,,2025-03-30T19:03:06.471070,0,Position.Z,89211000,89901000
2018-10-01/08_05_14,0,Altitude,,2025-03-30T19:03:06.471070,1,Position.Z,97139000,105669000
2018-10-01/08_05_14,0,Altitude,,2025-03-30T19:03:06.471070,2,Position.Z,109892000,111701000
2018-10-01/08_08_19,0,Altitude,,2025-03-31T23:40:54.481305,0,Position.Z,51712000,56134000
2018-10-01/08_08_19,0,Altitude,,2025-03-31T23:40:54.481305,1,Position.Z,61096000,63505000
2018-10-01/08_10_03,0,External Position,,2025-03-31T23:45:53.384238,0,Position.Y,135940000,138819000
2018-10-01/08_14_21,0,Normal,,2025-03-31T23:53:31.082873,,,,
2018-10-01/08_15_13,0,Normal,,2025-03-31T23:55:32.553999,,,,
2018-10-01/08_20_48,0,Normal,,2025-03-31T23:57:41.625294,,,,
2018-10-01/08_26_38,0,Normal,,2025-04-01T00:01:42.772341,,,,
2018-10-01/08_31_51,0,Normal,,2025-04-01T00:02:53.255232,,,,
2018-10-01/08_41_21,0,Normal,,2025-04-01T00:04:28.695796,,,,
2018-10-01/08_46_57,0,Normal,,2025-04-01T00:05:29.961427,,,,
2018-10-01/08_48_32,0,Normal,,2025-04-01T00:06:08.801505,,,,
2018-10-01/08_53_13,0,Normal,,2025-04-01T00:08:21.201416,,,,
2018-10-02/07_24_27,0,Normal,,2025-04-01T00:08:38.210791,,,,
2018-10-02/07_28_05,0,Normal,,2025-04-01T00:09:09.733682,,,,
2018-10-02/07_32_32,0,Normal,,2025-04-01T00:09:21.832800,,,,
2018-10-02/07_37_01,0,Normal,,2025-04-01T00:09:53.624396,,,,
2018-10-02/07_41_57,0,Normal,,2025-04-01T00:11:02.759470,,,,
2018-10-02/07_49_36,0,Normal,,2025-04-01T00:11:54.120820,,,,
2018-10-02/07_53_56,0,Normal,,2025-04-01T00:14:49.793360,,,,
2018-10-02/08_00_39,0,Normal,,2025-04-01T00:15:50.299339,,,,
2018-10-02/08_08_56,0,Normal,,2025-04-01T00:18:12.722517,,,,
2018-10-02/08_18_28,0,Normal,,2025-04-01T00:22:17.644931,,,,
2018-10-02/08_29_35,0,Normal,,2025-04-01T00:22:51.242890,,,,
2018-10-02/08_37_23,0,Normal,,2025-04-01T00:23:05.454664,,,,
2018-10-03/18_26_20,0,Normal,,2025-04-01T00:24:06.875489,,,,
2018-10-03/18_31_32,0,Normal,,2025-04-01T00:27:48.473996,,,,
2018-10-03/18_43_39,0,Normal,,2025-04-01T00:29:15.938639,,,,
2018-10-03/18_49_12,0,Normal,,2025-04-01T23:09:49.902590,,,,
2018-10-03/18_53_54,0,Normal,,2025-04-01T23:11:16.152921,,,,
2018-10-04/07_01_29,0,Normal,,2025-04-01T23:17:58.881304,,,,
2018-10-04/07_08_03,0,Normal,,2025-04-01T23:18:48.444987,,,,
2018-10-04/07_10_48,0,Uncategorized,check global position computation,2025-04-01T23:21:07.914088,,,,
2018-10-04/07_12_22,0,Uncategorized,,2025-04-01T23:21:46.252859,,,,
2018-10-04/07_12_50,0,Normal,,2025-04-01T23:33:51.554871,,,,
2018-10-04/07_13_35,0,Uncategorized,,2025-04-01T23:40:49.949566,,,,
2018-10-04/07_14_07,0,Normal,,2025-04-01T23:42:30.975574,,,,
2018-10-04/07_17_05,0,Global Position,,2025-04-02T00:05:07.613640,0,Position.Y,101880000,103021000
2018-10-04/07_21_35,0,Normal,,2025-04-02T00:06:10.753179,,,,
2018-10-04/07_22_10,0,Global Position,,2025-04-02T00:08:46.636085,0,Position.X,120009000,121502000
2018-10-04/07_22_10,1,Global Position,,2025-05-19T17:31:35.301795,0,Position.Y,86554000,87233000
2018-10-04/07_25_27,0,Global Position,,2025-04-02T00:16:07.922853,0,Position.X,92044000,92989000
2018-10-04/07_25_27,0,Global Position,,2025-04-02T00:16:07.922853,1,Position.X,93986000,95110000
2018-10-04/07_25_27,1,Mechanical,,2025-04-02T00:16:45.934125,0,Magnetometer,70656000,72087000
2018-10-04/07_27_11,0,Normal,,2025-04-02T00:24:03.227843,,,,
2018-10-04/07_27_21,0,Uncategorized,,2025-04-02T00:25:48.243599,,,,
2018-10-04/07_29_32,0,Uncategorized,,2025-04-02T00:25:58.840874,,,,
2018-10-04/07_29_45,0,External Position,,2025-04-02T00:28:33.032280,0,Position.X,381867000,388209000
2018-10-04/07_30_31,0,Global Position,,2025-04-02T00:41:12.336184,0,Position.Y,110050000,155643000
2018-10-04/07_30_31,0,Global Position,,2025-04-02T00:41:12.336184,1,Position.Y,163019000,206153000
2018-10-04/07_30_31,0,Global Position,,2025-04-02T00:41:12.336184,2,Position.Y,212635000,241912000
2018-10-04/07_30_31,0,Global Position,,2025-04-02T00:41:12.336184,3,Position.Y,243253000,267614000
2018-10-04/07_30_31,0,Global Position,,2025-04-02T00:41:12.336184,4,Position.Y,269849000,312984000
2018-10-04/07_14_51,0,Global Position,,2025-04-02T00:45:22.470178,0,Position.X,211103000,217674000
2018-10-04/07_01_22,0,Global Position,,2025-04-02T00:46:32.726502,0,Position.Y,187730000,189277000
2018-10-04/07_01_22,0,Global Position,,2025-04-02T00:46:32.726502,1,Position.Y,198565000,236671000
2018-10-04/07_01_22,0,Global Position,,2025-04-02T00:46:32.726502,2,Position.Y,238072000,241536000
2018-10-04/07_33_16,0,Normal,,2025-04-02T00:49:42.449981,,,,
2018-10-04/07_38_25,0,Normal,,2025-04-02T00:52:51.067793,,,,
2018-10-04/07_38_32,0,Normal,,2025-04-02T00:54:53.797272,,,,
2018-10-04/07_43_05,0,Normal,,2025-04-02T00:55:51.693568,,,,
2018-10-04/07_51_56,0,External Position,,2025-04-02T00:58:25.514817,0,Position.X,85152000,86130000
2018-10-04/07_54_23,0,Normal,,2025-04-02T00:59:46.295397,,,,
2018-10-04/08_00_43,0,Normal,,2025-04-02T01:04:05.997167,,,,
2018-10-04/08_04_18,0,Normal,,2025-04-02T01:05:23.358454,,,,
2018-10-27/15_43_20,0,Uncategorized,,2025-04-02T01:07:02.041986,,,,
2018-10-27/15_43_51,0,Normal,global normal,2025-04-02T01:11:40.518436,,,,
2018-10-27/15_48_34,0,Normal,global normal,2025-04-02T01:12:33.902250,,,,
2018-10-27/15_51_46,0,Normal,,2025-04-02T22:26:15.481064,,,,
2018-10-27/15_57_23,0,Normal,,2025-04-02T22:27:56.829716,,,,
2018-10-27/16_00_09,0,Normal,,2025-04-02T22:31:05.036362,,,,
2018-11-20/15_16_18,0,Mechanical,,2025-04-02T22:35:30.892142,0,Vibration,143301000,145253000
2018-11-20/15_16_18,0,Mechanical,,2025-04-02T22:35:30.892142,1,Vibration,125001000,129393000
2018-11-20/15_17_09,0,Normal,,2025-04-02T22:39:34.181201,,,,
2018-11-20/15_20_01,0,Mechanical,,2025-04-02T22:45:05.079258,0,Magnetometer,364802000,367131000
2018-11-20/15_21_47,0,Mechanical,,2025-04-02T22:48:00.395120,0,Magnetometer,458155000,461108000
2018-11-20/15_23_51,0,Normal,,2025-04-02T22:51:28.992979,,,,
2018-11-20/15_25_52,0,Mechanical,,2025-04-02T22:55:06.127526,0,Actuator Outputs,714382000,739025000
2018-11-20/15_27_34,0,Normal,,2025-04-02T23:00:41.792599,,,,
2018-11-20/15_29_13,0,Mechanical,,2025-04-03T00:07:37.351614,0,Magnetometer,903957000,905987000
2018-11-20/15_32_06,0,Normal,,2025-04-03T00:11:02.861812,,,,
2018-11-20/15_33_12,0,Normal,,2025-04-03T00:11:59.610569,,,,
2018-11-23/08_13_32,0,External Position,,2025-04-03T00:22:43.031386,0,Position.X,173091000,298647000
2018-11-23/08_25_52,0,Uncategorized,,2025-04-03T00:36:18.618875,,,,
2018-11-23/08_30_27,0,Uncategorized,,2025-04-03T00:37:01.218934,,,,
2018-11-23/08_30_39,0,Uncategorized,,2025-04-03T00:37:09.941171,,,,
2018-11-23/08_33_49,0,Uncategorized,,2025-04-03T00:37:39.757868,,,,
2018-11-23/08_34_02,0,Uncategorized,,2025-04-03T00:38:03.834024,,,,
2018-11-23/08_34_50,0,Uncategorized,,2025-04-03T00:38:16.402174,,,,
2018-11-23/08_40_43,0,External Position,,2025-04-03T00:39:17.269469,0,Position.X,309418000,324004000
2018-11-23/08_55_29,0,External Position,,2025-04-03T00:51:28.054365,0,Position.X,313375000,319002000
2018-11-27/07_32_30,0,External Position,,2025-04-03T00:58:24.455771,0,Position.X,186152000,188449000
2018-11-27/07_36_53,0,Normal,,2025-04-03T01:02:11.963009,,,,
2018-11-27/07_42_38,0,Normal,,2025-04-03T01:04:10.831551,,,,
2018-11-27/07_45_59,0,Normal,,2025-04-06T00:29:30.848902,,,,
2018-11-27/07_52_27,0,Normal,,2025-04-06T00:35:30.064247,,,,
2018-11-27/07_59_06,0,Normal,,2025-04-06T00:37:15.729471,,,,
2018-11-27/08_11_22,0,Normal,,2025-04-06T00:38:21.812448,,,,
2018-11-27/08_27_47,0,Normal,,2025-04-06T00:39:33.711317,,,,
2018-11-27/08_27_47,1,Normal,,2025-04-06T00:51:30.980456,,,,
2018-11-27/08_49_45,0,Normal,,2025-04-06T00:52:30.610258,,,,
2018-11-27/08_56_16,0,Normal,,2025-04-06T01:16:19.464906,,,,
2018-11-28/07_33_39,0,Normal,,2025-04-06T01:17:49.103153,,,,
2018-11-28/07_37_08,0,Normal,,2025-04-06T01:19:16.491943,,,,
2018-11-28/07_56_05,0,External Position,,2025-04-06T01:28:39.937049,0,Position.Y,205849000,208652000
2018-11-28/08_03_10,0,External Position,,2025-04-06T01:30:31.754744,0,Position.X,275384000,298785000
