log_key,split
2019-02-14/07_48_57,train
2019-02-14/07_59_35,test
2019-02-14/08_01_30,test
2019-02-14/08_05_34,test
2019-02-14/08_09_04,train
2019-02-14/08_11_59,validation
2019-02-14/08_19_39,train
2019-02-14/08_23_31,train
2019-02-14/08_26_35,train
2019-02-14/08_31_15,validation
2019-02-14/08_36_56,train
2019-02-14/08_41_47,test
2019-02-14/08_45_35,train
2019-02-14/08_56_46,validation
2019-02-15/07_57_34,train
2019-02-15/08_04_17,train
2019-02-15/08_12_14,validation
2019-02-15/08_17_11,train
2019-02-15/08_20_11,train
2019-02-15/08_29_18,test
2019-02-15/08_39_35,train
2019-02-15/08_49_02,train
2019-02-15/08_58_31,train
2019-02-15/09_10_05,validation
2019-02-15/09_13_20,test
2019-02-15/09_15_54,train
2019-02-18/07_32_19,train
2019-02-18/07_38_14,train
2019-02-18/07_52_56,test
2019-02-18/08_08_01,train
2019-02-19/08_25_03,test
2019-02-19/08_34_26,validation
2019-02-19/08_44_41,validation
2019-02-19/08_54_26,train
2019-02-19/09_04_09,train
2019-02-19/09_12_10,train
2019-02-20/07_33_26,train
2019-02-20/07_42_02,test
2019-02-20/07_52_49,train
2019-02-20/08_02_43,train
2019-02-20/08_10_24,train
2019-02-20/08_18_45,train
2019-02-20/08_24_08,test
2019-02-21/07_28_38,train
2019-02-21/07_39_01,train
2019-02-21/07_49_00,train
2019-02-21/08_01_16,train
2019-02-21/08_10_04,validation
2019-02-21/08_15_33,train
2019-02-21/08_22_25,train
2019-02-21/08_29_54,train
2019-02-21/08_32_55,train
2019-02-21/08_39_16,test
2019-02-21/08_47_34,train
2019-02-22/07_28_53,train
2019-02-22/07_34_44,train
2019-02-22/07_43_56,train
2019-02-22/07_50_03,train
2019-02-22/07_58_06,train
2019-02-22/08_06_41,train
2019-02-22/08_17_10,train
2019-02-22/08_27_20,test
2019-02-26/07_24_58,test
2019-02-26/07_31_34,train
2019-02-26/07_38_57,train
2019-02-26/07_41_34,validation
2019-02-26/07_51_06,train
2019-02-26/07_56_40,train
2019-02-26/08_00_58,validation
2019-02-26/08_06_27,validation
2019-02-26/08_13_34,validation
2019-02-26/08_17_55,train
2019-02-26/08_24_30,train
2019-02-27/07_18_22,train
2019-02-27/07_25_03,train
2019-02-27/07_31_19,train
2019-02-27/07_38_04,train
2019-02-27/07_45_45,train
2019-02-27/07_53_27,train
2019-02-27/07_59_36,train
2019-02-27/08_04_00,test
2019-02-27/08_11_21,validation
2019-02-28/07_34_48,train
2019-02-28/07_43_04,test
2019-02-28/07_58_52,validation
2019-02-28/08_09_56,train
2019-02-28/08_23_29,validation
2019-02-28/08_39_07,train
2019-02-28/09_04_44,train
2019-02-28/09_18_38,train
2019-03-01/07_16_29,validation
2019-03-01/07_22_36,test
2019-03-01/07_28_18,test
2019-03-01/07_36_24,train
2019-03-01/07_45_27,test
2019-03-01/07_51_58,train
2019-03-01/07_59_35,train
2019-03-01/08_06_54,test
2019-03-04/07_27_08,train
2019-03-04/07_34_50,train
2019-03-04/07_38_42,train
2019-03-04/07_46_06,train
2019-03-04/07_56_51,validation
2019-03-04/07_58_23,train
2019-03-04/08_02_19,train
2019-03-04/08_07_05,train
2019-03-04/08_10_05,train
2019-03-04/08_14_41,train
2019-03-04/08_18_44,train
2019-03-04/08_23_15,train
2019-03-04/08_28_37,test
2019-03-04/08_31_08,validation
2019-03-04/08_33_41,validation
2019-03-04/08_36_56,train
2019-03-04/08_38_53,train
2019-03-04/08_41_17,train
2019-03-04/08_44_55,train
2019-03-05/07_25_14,train
2019-03-05/07_29_30,validation
2019-03-05/07_32_34,test
2019-03-05/07_36_09,train
2019-03-05/07_40_49,train
2019-03-05/07_44_26,test
2019-03-05/07_47_00,train
2019-03-05/07_50_02,train
2019-03-05/07_53_09,train
2019-03-05/07_57_26,train
2019-03-05/08_00_16,train
2019-03-06/07_23_12,test
2019-03-06/07_25_51,train
2019-03-06/07_28_18,test
2019-03-06/07_31_11,train
2019-03-06/07_33_21,train
2019-03-06/07_59_53,train
2019-03-06/08_02_26,train
2019-03-06/08_08_04,train
2019-03-06/08_11_47,train
2019-03-07/07_39_17,test
2019-03-07/07_52_21,validation
2019-03-07/08_04_50,train
2019-03-07/08_15_25,test
2019-03-08/07_33_32,test
2019-03-08/07_44_36,train
2019-03-08/07_50_16,train
2019-03-08/07_54_39,train
2019-03-11/07_23_48,train
2019-03-11/07_31_26,train
2019-03-11/07_38_50,train
2019-03-11/07_46_09,train
2019-03-12/07_30_55,train
2019-03-12/07_38_42,test
2019-03-12/07_45_43,train
2019-03-12/07_55_16,train
2019-03-13/07_30_37,train
2019-03-13/07_38_25,test
2019-03-13/07_48_48,test
2019-03-13/07_57_08,train
2019-03-14/07_22_11,train
2019-03-14/07_27_17,train
2019-03-15/10_49_17,train
2019-03-15/10_58_58,train
2019-03-15/11_05_20,train
2019-03-15/11_14_48,train
2019-03-15/11_19_19,test
2019-03-15/11_26_05,test
2019-03-15/11_36_46,train
2019-03-18/07_27_21,validation
2019-03-18/07_41_58,test
2019-03-18/07_50_31,validation
2019-03-18/07_57_03,train
2019-03-18/08_03_03,train
2019-03-18/08_06_57,test
2019-03-19/07_25_32,train
2019-03-19/07_31_26,validation
2019-03-19/07_40_10,train
2019-03-19/07_49_49,test
2019-03-19/07_53_55,validation
2019-03-20/07_32_29,train
2019-03-20/07_34_36,test
2019-03-20/07_36_56,validation
2019-03-20/07_40_46,train
2019-03-20/07_46_11,train
2019-03-20/07_51_41,train
2019-03-21/08_18_18,train
2019-03-21/08_25_27,train
2019-03-21/08_30_23,validation
2019-03-21/08_39_22,validation
2019-03-22/07_28_34,train
2019-03-22/07_31_15,train
2019-03-22/07_36_47,train
2019-03-22/07_46_23,train
2019-03-25/07_38_13,validation
2019-03-25/07_56_29,train
2019-03-25/08_09_37,validation
2019-03-25/08_40_30,test
2019-03-26/07_39_23,validation
2019-03-26/07_46_09,test
2019-03-26/07_50_02,train
2019-03-26/08_06_28,train
2019-04-02/10_40_30,train
2019-04-02/10_48_41,test
2019-04-02/10_54_45,train
2019-04-02/10_59_01,train
2019-04-03/10_41_21,test
2019-04-03/10_48_51,validation
2019-04-03/11_02_04,validation
2019-04-03/11_10_52,train
2019-04-05/18_39_16,train
2019-04-05/18_42_09,train
2019-04-05/18_44_17,train
2019-04-05/18_47_09,train
2019-04-11/10_26_03,train
2019-04-11/10_29_19,train
2019-04-11/10_31_43,train
2019-04-11/10_34_16,train
2019-04-11/10_43_25,validation
2019-04-12/10_12_17,train
2019-04-12/10_14_44,validation
2019-04-12/10_17_35,validation
2019-04-12/10_19_40,train
2019-04-17/07_32_57,train
2019-04-17/07_45_26,train
2019-04-17/07_56_36,validation
2019-04-17/08_03_14,validation
2019-04-17/08_09_54,train
2019-04-22/16_42_30,test
2019-04-22/17_10_26,test
2019-05-16/07_26_53,validation
2019-05-16/07_30_50,validation
2019-05-16/07_37_03,test
2019-05-16/07_41_52,train
2019-05-20/07_27_24,train
2019-05-20/07_40_54,train
2019-05-20/07_46_25,train
2019-05-20/07_49_24,test
2019-05-20/07_53_04,train
2019-05-20/08_09_06,train
2019-05-21/07_23_26,train
2019-05-21/07_28_09,train
2019-05-21/07_40_35,train
2019-05-21/07_54_18,train
2019-05-21/08_04_49,train
2019-05-21/08_22_58,train
2019-05-23/07_24_17,train
2019-05-23/07_34_26,test
2019-05-23/07_41_00,train
2019-05-23/07_51_49,train
2019-05-23/07_56_27,train
2019-05-23/08_05_44,train
2019-05-24/19_04_17,train
2019-05-24/19_13_59,train
2019-05-24/19_21_36,train
2019-05-24/19_27_14,train
2019-05-28/07_26_15,test
2019-05-28/07_32_34,validation
2019-05-28/07_38_10,train
2019-05-28/07_45_20,train
2019-05-29/07_20_36,train
2019-05-29/07_25_24,train
2019-05-29/07_27_57,validation
2019-05-29/07_30_42,train
2019-05-29/07_35_29,train
2019-05-31/07_33_32,train
2019-05-31/07_39_51,train
2019-05-31/07_48_14,validation
2019-05-31/07_54_29,train
2019-05-31/07_58_45,train
2019-05-31/08_08_35,test
2019-06-03/11_14_55,test
2019-06-03/11_19_37,train
2019-06-03/11_28_20,test
2019-06-03/11_42_13,test
2019-06-05/12_16_17,train
2019-06-05/12_28_46,train
2019-06-05/12_42_00,train
2019-06-05/12_51_47,train
2019-06-06/16_24_08,train
2019-06-06/16_37_11,train
2019-06-06/16_44_58,train
2019-06-06/16_51_53,train
2019-06-07/16_44_02,train
2019-06-07/16_57_06,train
2019-06-07/17_07_16,train
2019-06-07/17_22_26,train
2019-07-02/08_01_53,train
2019-07-02/08_09_41,train
2019-07-02/08_22_19,train
2019-07-02/08_26_54,train
2019-08-01/08_08_44,train
2019-08-01/08_17_07,train
2019-08-01/08_22_46,train
2019-08-01/08_47_43,train
2019-10-09/09_32_34,test
2019-10-09/09_38_34,test
2019-10-09/09_50_02,train
2019-10-09/10_03_32,train
2019-11-05/09_57_44,test
2019-11-05/10_02_37,validation
2019-11-05/10_34_16,train
2019-11-05/10_41_16,train
2019-12-02/09_30_03,test
2019-12-02/09_38_11,train
2019-12-02/09_40_27,train
2019-12-02/09_55_28,train
2020-02-12/10_48_51,train
2020-02-12/10_49_44,train
2020-02-12/11_03_58,validation
2020-02-12/11_06_05,train
2020-02-13/10_01_06,validation
2020-02-13/10_05_50,test
2021-10-06--/11_54_32,test
2021-10-06--/12_14_56,train
2021-10-06--/12_20_25,train
2021-10-06--/12_26_34,train
2021-10-06--/12_47_03,train
2021-10-07_pid--/log_0_2021-10-1-17-16-16,validation
2021-10-07_pid--/log_1_2021-10-1-17-28-54,validation
2021-10-07_pid--/log_3_2021-10-1-16-15-52,train
2022-08-07/log_11_2022-8-7-20-58-34_v1.13_offboard,train
2022-09-16/03_16_07,train
2022-09-16/08_14_31,train
2022-09-16/11_26_45,train
2022-09-26/00_44_00,train
2022-09-26/10_46_38,train
2022-09-26/23_39_23,train
2022-10-07/03_44_01,test
2022-10-21/02_32_21,train
2022-10-21/05_26_56,train
2022-10-21/07_05_14,train
2022-10-21/09_50_18,test
2022-10-22_dhl/03_51_03,train
2022-10-22_dhl/04_00_25,train
2022-12/2023-02-10/02_39_00,train
2022-12/2023-02-10/03_57_52,validation
2022-12/2023-02-10/05_54_51,train
2023-08/2021-10-03/13_19_20,train
2023-08/2021-10-03/16_19_18,train
2023-08/2021-10-03/16_31_38,train
2023-08/2021-10-03/17_10_32,train
2023-08/2021-10-04/01_39_47,validation
2023-08/2021-10-04/01_58_46,train
2023-08/2021-10-04/02_07_16,test
2023-08/2021-10-04/02_13_37,train
2023-08/2021-10-04/02_35_01,validation
2023-08/2021-10-05/12_56_22,train
2023-08/2021-10-05/13_00_37,train
2023-08/2021-10-05/13_14_04,train
2023-08/2021-10-05/14_56_59,train
2023-08/2021-10-05/15_10_10,train
2023-08/2021-10-06/00_05_29,train
2023-08/2021-10-06/00_11_41,train
2023-08/2021-10-06/00_38_23,test
2023-08/2021-10-06/00_51_33,train
2023-08/2021-10-07/01_55_04,train
2023-08/2021-10-07/02_14_07,train
2023-08/2021-10-07/02_36_49,train
2023-08/2022-06-15/08_23_52,train
2023-08/2022-06-15/09_50_38,validation
2023-08/2022-06-15/10_29_37,train
2023-08/2022-06-15/11_58_52,train
2023-08/2022-06-15/12_11_35,train
2023-08/2022-06-16/00_29_52,train
2023-08/2022-06-16/00_51_19,train
2023-08/2022-06-16/00_54_18,train
2023-08/2022-06-16/00_59_20,train
2023-08/2022-09-06/14_06_20,train
2023-08/2022-09-06/14_15_05,train
2023-08/2022-09-06/14_21_59,train
2023-08/2022-09-06/14_28_22,train
2023-08/2022-09-07/13_22_09,train
2023-08/2022-09-07/14_09_30,train
2023-08/2022-09-07/14_14_45,train
2023-08/2022-09-07/16_11_40,train
2023-08/2022-09-07/16_48_12,train
2023-08/2022-09-08/00_09_34,train
2023-08/2022-09-08/00_17_34,train
2023-08/2022-09-08/00_40_52,test
2023-08/2022-09-08/01_07_35,train
2023-08/2022-09-08/01_16_01,train
2023-08/2022-09-09/00_05_28,validation
2023-08/2022-09-09/00_51_01,train
2023-08/2022-09-09/03_31_36,train
2023-08/2022-09-09/03_47_04,validation
2023-08/2022-09-10/01_48_01,train
2023-08/2022-09-10/07_34_40,validation
2023-08/2022-09-10/07_45_22,train
2023-08/2022-09-10/11_05_04,validation
2023-08/2022-09-11/00_53_20,train
2023-08/2022-09-11/01_03_34,test
2023-08/2022-09-11/02_24_19,train
2023-08/2022-09-11/02_40_49,validation
2023-08/2022-09-11/02_58_17,validation
2023-08/2023-03-25/18_46_08,train
2023-08/2023-03-25/19_25_10,train
2023-08/2023-03-25/20_03_13,train
2023-08/2023-04-14/11_32_12,train
2023-08/2023-04-14/11_42_05,train
2023-08/2023-04-14/12_14_07,test
2023-08/2023-04-14/12_28_58,train
2023-08/2023-04-14/13_13_05,train
2023-08/2023-04-14/13_18_37,train
2023-08/2023-05-23/11_36_29,train
2023-08/2023-05-23/12_36_58,validation
2023-08/2023-05-23/13_03_37,validation
2023-08/2023-05-23/13_34_16,train
2023-08/2023-05-23/14_03_30,train
2023-08/2023-05-24/00_15_34,train
2023-08/2023-05-24/00_20_45,validation
2023-08/2023-05-24/00_52_28,validation
2023-08/2023-05-24/01_06_09,train
2023-08/2023-05-24/01_11_27,train
2023-08/2023-05-24/01_36_45,train
2023-08/2023-05-24/02_03_16,test
2023-08/sess002/log001,train
2023-08/sess003/log001,train
2023-08/sess004/log001,validation
2023-08/sess005/log001,test
2023-08/sess006/log001,train
2023-08/sess007/log001,train
2023-08/sess008/log001,train
2023-08/sess009/log001,train
2023-08/sess010/log001,train
2023-08/sess011/log001,validation
2023-08/sess012/log001,train
2023-08/sess013/log001,validation
2023-08/sess014/log001,train
2023-08/sess015/log001,train
2023-08/sess016/log001,train
2023-08/sess017/log001,validation
2023-08/sess017/log002,train
2023-08/sess018/log001,train
2023-08/sess020/log001,validation
2023-08/sess021/log001,train
2023-08/sess022/log001,validation
2023-08/sess023/log001,train
2023-08/sess024/log001,train
2023-08/sess025/log001,validation
2023-08/sess026/log001,train
2023-08/sess028/log001,train
2023-08/sess029/log001,test
2023-08/sess030/log001,test
2023-08/sess031/log001,train
2023-08/sess032/log001,train
2023-08/sess033/log001,validation
2023-08/sess034/log002,train
2023-08/sess035/log001,train
2023-08/sess036/log001,train
2023-08/sess037/log001,validation
2023-08/sess038/log001,test
2023-08/sess039/log001,validation
2023-08/sess040/log001,train
2023-08/sess041/log001,train
2023-08/sess042/log001,train
2023-08/sess043/log001,test
2023-08/sess044/log001,test
2023-08/sess045/log001,train
2023-08/sess046/log001,train
2023-08/sess047/log001,train
2023-08/sess048/log001,train
2023-08/sess049/log001,train
2023-08/sess050/log001,validation
2023-08/sess051/log003,train
2023-08/sess052/log001,train
2023-08/sess053/log001,train
2023-08/sess054/log001,train
2023-08/sess055/log001,train
2023-08/sess056/log001,train
2023-08/sess057/log001,train
2023-08/sess058/log001,train
2023-08/sess059/log001,train
2023-08/sess060/log001,validation
2023-08/sess061/log001,train
2023-08/sess062/log001,train
2023-08/sess065/log001,train
2023-08/sess066/log001,train
2023-08/sess067/log001,train
2023-08/sess069/log001,train
2023-08/sess070/log001,train
2023-08/sess071/log001,train
2023-08/sess072/log001,train
2023-08/sess073/log001,validation
2023-08/sess074/log001,train
2023-08/sess075/log001,train
2023-08/sess076/log001,train
22_00_49,test
23_36_13,test
log_135_2022-6-15-11-24-32,train
log_13_2021-10-3-16-05-24,train
log_1_2021-9-30-00-28-30,train
log_2_2021-9-30-00-28-52,train
log_31_2021-10-4-10-51-44,train
log_54_2022-4-19-18-17-42,train
log_7_2020-11-20-14-31-06,test
